person_id,HearingDate,CodeSection,codesection,ChargeType,chargetype,Class,DispositionCode,disposition,Plea,Race,Sex,fips,convictions,arrests,felony10,sevenyear,tenyear,within7,within10,class1_2,class3_4,expungable,old_expungable,expungable_no_lifetimelimit,reason,sameday,lifetime
199031000000439,2018-06-01,A.46.2-862,covered elsewhere,Misdemeanor,Misdemeanor,"NA",Guilty,Conviction,"NA",Black(Non-Hispanic),Female,117,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,Automatic (pending),FALSE,Automatic (pending),"Conviction of misdemeanor charges listed in 19.2-392.6 B with no convictions since the disposition date. However, because the disposition date is within 7 years of the current date, the record is not yet eligible for expungement",FALSE,FALSE
15100000000316,2000-08-07,18.2-26,covered elsewhere,Felony,Felony,"NA",Guilty,Conviction,"NA",White Caucasian (Non-Hispanic),Male,191,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Petition,FALSE,Petition,"Conviction or deferred dismissal of felony charges that are not ones listed under 19.2-392.12, with no felonies within the last 10 years, no class 3 or 4 felony conviction within the past 20 years, no class 1 or 2 felony or any other felony punishable by imprisonment for life, and no convictions of another kind within 10 years from disposition date",FALSE,FALSE
15100000000316,2000-08-07,18.2-95,covered elsewhere,Felony,Felony,"NA",Guilty,Conviction,"NA",White Caucasian (Non-Hispanic),Male,191,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Petition,FALSE,Petition,"Conviction or deferred dismissal of felony charges that are not ones listed under 19.2-392.12, with no felonies within the last 10 years, no class 3 or 4 felony conviction within the past 20 years, no class 1 or 2 felony or any other felony punishable by imprisonment for life, and no convictions of another kind within 10 years from disposition date",FALSE,FALSE
10210000000095,2019-09-25,46.2-300,covered elsewhere,Misdemeanor,Misdemeanor,"NA",Guilty In Absentia,Conviction,"NA",Hispanic,Male,23,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,Automatic (pending),FALSE,Automatic (pending),"Conviction of misdemeanor charges listed in 19.2-392.6 B with no convictions since the disposition date. However, because the disposition date is within 7 years of the current date, the record is not yet eligible for expungement",FALSE,FALSE
51220000000305,2010-05-03,46.2-613(2),covered elsewhere,Misdemeanor,Misdemeanor,1,Guilty,Conviction,Guilty,White Caucasian(Non-Hispanic),Male,840,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Automatic,FALSE,Automatic,Conviction of misdemeanor charges listed in 19.2-392.6 B with no convictions within 7 years from disposition date,FALSE,FALSE
51220000000305,2010-05-03,A.46.2-707,covered elsewhere,Misdemeanor,Misdemeanor,3,Guilty,Conviction,Guilty,White Caucasian(Non-Hispanic),Male,840,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Automatic,FALSE,Automatic,Conviction of misdemeanor charges listed in 19.2-392.6 B with no convictions within 7 years from disposition date,FALSE,FALSE
51220000000305,2010-05-03,46.2-300,covered elsewhere,Misdemeanor,Misdemeanor,2,Guilty,Conviction,Guilty,White Caucasian(Non-Hispanic),Male,840,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not eligible,FALSE,Automatic,"Conviction of misdemeanor charges listed in 19.2-392.6 B with no convictions within 7 years from disposition date; HOWEVER, the outcome is changed to not eligible because the lifetime limit of two expungements has been exceeded",FALSE,TRUE
102101000000235,2017-05-23,A.46.2-852,covered elsewhere,Misdemeanor,Misdemeanor,"NA",Dismissed,Dismissed,Not Guilty,White Caucasian(Non-Hispanic),Female,710,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,Automatic,TRUE,Automatic,Dismissal of misdemeanor charges with no arrests or charges in the past 3 years and no convictions on the person's record,FALSE,FALSE
344050000000169,2017-12-06,C.46.2-862,covered elsewhere,Misdemeanor,Misdemeanor,"NA",Guilty,Conviction,"NA",White Caucasian(Non-Hispanic),Male,510,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,Automatic (pending),FALSE,Automatic (pending),"Conviction of misdemeanor charges listed in 19.2-392.6 B with no convictions since the disposition date. However, because the disposition date is within 7 years of the current date, the record is not yet eligible for expungement",FALSE,FALSE
5181000000098,2006-09-01,18.2-456,covered elsewhere,Misdemeanor,Misdemeanor,"NA",Guilty,Conviction,Not Guilty,Black (Non-Hispanic),Female,550,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Not eligible,FALSE,Not eligible,"Conviction of misdemeanor charges that are not excluded from expungement by 19.2-392.12, but with convictions of another kind within 7 years from disposition date",FALSE,FALSE
